Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
7248 VIA PALOMAR,0.127,2608,1990,2,2,4/18/18,400000,SINGLE FAMILY
7216 VIA PALOMAR,0.1263,2572,1988,2,2,12/28/18,452500,SINGLE FAMILY
7216 VIA PALOMAR,0.1263,2572,1988,2,2,6/11/18,340000,SINGLE FAMILY
7211 VIA PALOMAR,0.1508,2630,1989,2,2,7/6/18,445000,SINGLE FAMILY
6989 TIBURON CIR,0.0525,1386,1978,2,2,10/26/17,224900,TOWNHOUSE
6984 CONSOLATA ST,0.0826,1632,1980,2,2,3/28/18,241000,TOWNHOUSE
6976 TIBURON CIR,0.0641,1238,1978,2,2,4/19/19,234900,TOWNHOUSE
6937 TIBURON CIR,0.0648,1238,1978,2,2,4/17/18,210000,TOWNHOUSE
6932 ESCOBAR CT,0.0826,2042,1980,2,2,9/27/19,295000,TOWNHOUSE
6924 TIBURON CIR,0.0675,1238,1978,2,2,5/13/19,219900,TOWNHOUSE
6845 CONSOLATA ST,0.0895,2042,1984,2,2,4/25/18,290000,TOWNHOUSE
6822 CONSOLATA ST,0.0828,1700,1985,2,2,5/25/17,250000,TOWNHOUSE
6812 TIBURON CIR,0.0661,1754,1978,2,2,6/28/17,240000,TOWNHOUSE
6805 BARBAROSSA ST,0.0833,1830,1980,2,2,12/14/18,265000,TOWNHOUSE
6789 TIBURON CIR,0.0619,1570,1978,2,2,3/4/19,308000,TOWNHOUSE
6789 TIBURON CIR,0.0619,1570,1978,2,2,2/16/17,265000,TOWNHOUSE
6785 BRIDLEWOOD CT,0.0267,1196,1984,2,2,5/21/18,215000,TOWNHOUSE
6761 BRIDLEWOOD CT,0.0261,1118,1984,2,2,10/24/17,225000,TOWNHOUSE
6750 BRIDLEWOOD CT,0.0324,1478,1982,2,2,8/29/17,217500,TOWNHOUSE
6734 BRIDLEWOOD CT,0.032,1478,1982,2,2,12/29/16,226000,TOWNHOUSE
6720 BRIDLEWOOD CT,0.0323,1478,1982,2,2,8/15/19,200000,TOWNHOUSE
6716 TIBURON CIR,0.0699,1664,1979,2,2,10/24/18,282500,TOWNHOUSE
6716 BRIDLEWOOD CT,0.0769,1534,1982,2,2,12/3/18,260000,TOWNHOUSE
6636 TIBURON CIR,0.0613,1550,1979,2,2,7/3/19,278500,TOWNHOUSE
6636 TIBURON CIR,0.0613,1550,1979,2,2,2/16/18,268000,TOWNHOUSE
6636 THORNHILL CT,0.1247,1745,1981,2,2,7/19/18,266000,TOWNHOUSE
6548 PATIO LN,0.1182,1744,1980,2,2,5/23/18,382000,TOWNHOUSE
6516 CONTEMPO LN,0.1711,3067,1986,2,3,1/15/18,384000,TOWNHOUSE
6516 CONTEMPO LN,0.1711,3067,1986,2,3,3/29/17,250000,TOWNHOUSE
